time,bid,ask
2023-12-18T07:00:01.318Z,142.278,142.275
2023-12-18T07:00:03.416Z,142.269,142.271
2023-12-18T07:00:05.529Z,142.279,142.281
2023-12-18T07:00:07.652Z,142.285,142.287
2023-12-18T07:00:09.761Z,142.283,142.285
2023-12-18T07:00:11.859Z,142.279,142.281
2023-12-18T07:00:13.975Z,142.27,142.272
2023-12-18T07:00:16.096Z,142.274,142.276
2023-12-18T07:00:18.209Z,142.271,142.272
2023-12-18T07:00:24.460Z,142.269,142.271
2023-12-18T07:00:26.540Z,142.268,142.27
2023-12-18T07:00:30.560Z,142.255,142.269
2023-12-18T07:00:32.660Z,142.257,142.257
2023-12-18T07:00:36.887Z,142.255,142.259
2023-12-18T07:00:38.978Z,142.257,142.257
2023-12-18T07:00:41.069Z,142.254,142.259
2023-12-18T07:00:49.391Z,142.253,142.256
2023-12-18T07:00:51.494Z,142.254,142.255
2023-12-18T07:00:53.617Z,142.252,142.256
2023-12-18T07:00:55.705Z,142.254,142.254
2023-12-18T07:00:57.805Z,142.262,142.256
2023-12-18T07:00:59.898Z,142.255,142.264
2023-12-18T07:01:01.987Z,142.251,142.256
2023-12-18T07:01:04.093Z,142.25,142.252
2023-12-18T07:01:06.186Z,142.245,142.247
2023-12-18T07:01:08.274Z,142.246,142.246
2023-12-18T07:01:10.366Z,142.24,142.247
2023-12-18T07:01:12.477Z,142.243,142.244
2023-12-18T07:01:14.561Z,142.245,142.245
2023-12-18T07:01:16.676Z,142.244,142.251
2023-12-18T07:01:29.228Z,142.242,142.246
2023-12-18T07:01:33.426Z,142.243,142.244
2023-12-18T07:01:37.628Z,142.24,142.245
2023-12-18T07:01:39.734Z,142.233,142.242
2023-12-18T07:01:41.823Z,142.23,142.235
2023-12-18T07:01:43.923Z,142.227,142.231
2023-12-18T07:01:46.017Z,142.228,142.229
2023-12-18T07:01:52.360Z,142.229,142.23
2023-12-18T07:01:54.439Z,142.23,142.233
2023-12-18T07:01:56.582Z,142.229,142.232
2023-12-18T07:01:58.687Z,142.232,142.231
2023-12-18T07:02:00.772Z,142.234,142.234
2023-12-18T07:02:02.864Z,142.236,142.235
2023-12-18T07:02:04.941Z,142.233,142.238
2023-12-18T07:02:07.035Z,142.235,142.235
2023-12-18T07:02:09.121Z,142.242,142.237
2023-12-18T07:02:11.302Z,142.241,142.244
2023-12-18T07:02:13.387Z,142.24,142.243
2023-12-18T07:02:15.473Z,142.241,142.242
2023-12-18T07:02:21.736Z,142.245,142.243
2023-12-18T07:02:30.157Z,142.252,142.247
2023-12-18T07:02:32.254Z,142.25,142.254
2023-12-18T07:02:34.354Z,142.257,142.253
2023-12-18T07:02:42.796Z,142.258,142.259
2023-12-18T07:02:44.874Z,142.256,142.26
2023-12-18T07:02:46.978Z,142.259,142.258
2023-12-18T07:02:49.086Z,142.25,142.261
2023-12-18T07:02:51.194Z,142.249,142.252
2023-12-18T07:02:53.295Z,142.246,142.246
2023-12-18T07:02:55.398Z,142.24,142.248
2023-12-18T07:03:01.702Z,142.239,142.242
2023-12-18T07:03:08.033Z,142.24,142.241
2023-12-18T07:03:10.124Z,142.239,142.242
2023-12-18T07:03:16.770Z,142.24,142.241
2023-12-18T07:03:20.952Z,142.241,142.242
2023-12-18T07:03:25.139Z,142.243,142.245
2023-12-18T07:03:27.235Z,142.241,142.243
2023-12-18T07:03:31.396Z,142.238,142.24
2023-12-18T07:03:33.468Z,142.24,142.241
2023-12-18T07:03:39.484Z,142.241,142.242
2023-12-18T07:03:43.719Z,142.24,142.243
2023-12-18T07:03:45.832Z,142.239,142.242
2023-12-18T07:03:47.928Z,142.234,142.236
2023-12-18T07:03:52.346Z,142.233,142.235
2023-12-18T07:03:56.543Z,142.232,142.234
2023-12-18T07:04:02.806Z,142.233,142.235
2023-12-18T07:04:11.088Z,142.232,142.234
2023-12-18T07:04:13.379Z,142.231,142.233
2023-12-18T07:04:17.536Z,142.221,142.223
2023-12-18T07:04:19.637Z,142.22,142.222
2023-12-18T07:04:23.669Z,142.222,142.223
2023-12-18T07:04:25.761Z,142.221,142.224
2023-12-18T07:04:29.955Z,142.22,142.222
2023-12-18T07:04:32.205Z,142.218,142.22
2023-12-18T07:04:34.282Z,142.221,142.222
2023-12-18T07:04:36.361Z,142.222,142.224
2023-12-18T07:04:40.623Z,142.224,142.225
2023-12-18T07:04:46.898Z,142.21,142.212
2023-12-18T07:04:48.991Z,142.208,142.21
2023-12-18T07:04:53.166Z,142.212,142.214
2023-12-18T07:04:55.284Z,142.209,142.21
2023-12-18T07:05:01.457Z,142.226,142.211
2023-12-18T07:05:03.574Z,142.229,142.228
2023-12-18T07:05:05.682Z,142.23,142.231
2023-12-18T07:05:07.786Z,142.234,142.232
2023-12-18T07:05:09.903Z,142.244,142.236
2023-12-18T07:05:16.167Z,142.243,142.246
2023-12-18T07:05:18.248Z,142.249,142.245
2023-12-18T07:05:20.325Z,142.247,142.251
2023-12-18T07:05:24.487Z,142.248,142.249
2023-12-18T07:05:26.575Z,142.247,142.25
2023-12-18T07:05:28.679Z,142.25,142.249
2023-12-18T07:05:30.774Z,142.248,142.252
2023-12-18T07:05:32.872Z,142.247,142.25
2023-12-18T07:05:41.213Z,142.246,142.249
2023-12-18T07:05:45.404Z,142.247,142.248
2023-12-18T07:05:57.982Z,142.245,142.249
2023-12-18T07:06:00.114Z,142.24,142.247
2023-12-18T07:06:02.207Z,142.23,142.233
2023-12-18T07:06:04.341Z,142.235,142.232
2023-12-18T07:06:06.451Z,142.24,142.237
2023-12-18T07:06:08.539Z,142.241,142.243
2023-12-18T07:06:10.945Z,142.24,142.238
2023-12-18T07:06:13.065Z,142.242,142.244
2023-12-18T07:06:15.163Z,142.243,142.245
2023-12-18T07:06:17.263Z,142.241,142.243
2023-12-18T07:06:19.356Z,142.239,142.241
2023-12-18T07:06:21.454Z,142.241,142.243
2023-12-18T07:06:23.544Z,142.24,142.242
2023-12-18T07:06:40.369Z,142.239,142.241
2023-12-18T07:06:42.467Z,142.241,142.243
2023-12-18T07:06:48.759Z,142.243,142.244
2023-12-18T07:06:50.858Z,142.241,142.243
2023-12-18T07:06:57.172Z,142.242,142.244
2023-12-18T07:07:01.401Z,142.241,142.243
2023-12-18T07:07:03.486Z,142.24,142.242
2023-12-18T07:07:05.574Z,142.241,142.243
2023-12-18T07:07:07.677Z,142.243,142.245
2023-12-18T07:07:09.755Z,142.24,142.242
2023-12-18T07:07:13.946Z,142.231,142.233
2023-12-18T07:07:18.129Z,142.23,142.232
2023-12-18T07:07:22.296Z,142.232,142.233
2023-12-18T07:07:24.386Z,142.221,142.223
2023-12-18T07:07:30.654Z,142.22,142.222
2023-12-18T07:07:32.769Z,142.224,142.226
2023-12-18T07:07:34.844Z,142.231,142.233
2023-12-18T07:07:39.044Z,142.23,142.232
